,CAS,CAS_primary,CFR,CODEX ALIMENTARIUS (GSFA),DEA NO.,DRUG BANK,ECHA (EC/EINECS),EMA ASSESSMENT REPORTS,EPA PESTICIDE CODE,EVMPD,"Food Contact Sustance Notif, (FCN No.)",INN,IUPHAR,JECFA EVALUATION,JECFA MONOGRAPH,LIVERTOX,MERCK INDEX,MESH,NCI_THESAURUS,NDF-RT,RXCUI,UNII,WHO INTERNATIONAL PHARMACPOEIA,WHO-ATC,WHO-ESSENTIAL MEDICINES LIST,WHO-VATC,WIKIPEDIA,mixture_UNII,names,preferred_names,substanceClass,uuid,PT_from_unii,RN_from_unii,EC_from_unii,NCIT_from_unii,RXCUI_from_unii,ITIS_from_unii,NCBI_from_unii,PLANTS_from_unii,GRIN_from_unii,INN_ID_from_unii,MF_from_unii,INCHIKEY_from_unii,SMILES_from_unii,UNII_TYPE_from_unii,qid_cas,qid_unii,inchikey_from_wd,inchikey
215,26020-55-3,26020-55-3,,,,,247-411-3,,,,,2840.0,,,,,M8303,C011962,C84037,,32633,T3XOS33TIQ,,N02CX06,,QN02CX06,OXETORONE,,"OXETORONE|1-PROPANAMINE, 3-BENZOFURO(3,2-C)(1)BENZOXEPIN-6(12H)-YLIDENE-N,N-DIMETHYL-|N,N-DIMETHYLBENZOFURO(3,2-C)(1)BENZOXEPIN-D6(12H),G-PROPYLAMINE|أوكسيتورون|oxétorone|oxetoronum|奥昔托隆|oxetorona|оксеторон",OXETORONE,chemical,011629f4-42b9-4bf6-9403-d33462fbbfd0,OXETORONE,26020-55-3,247-411-3,C84037,32633.0,,,,,2840.0,C21H21NO2,VZVRZTZPHOHSCK-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2OCc3c1oc4c3cccc4,INGREDIENT SUBSTANCE,Q3359164,Q3359164,VZVRZTZPHOHSCK-YVLHZVERSA-N,
269,599-45-1,599-45-1,,,,,,,,,,,,,,,M6410,,,,,XP1843QRAT,,,,,,,".ALPHA.-IRONE, TRANS-(+/-)-|(+/-)-TRANS-.ALPHA.-IRONE|DL-TRANS-.ALPHA.-IRONE|3-BUTEN-2-ONE, 4-((1R,5R)-2,5,6,6-TETRAMETHYL-2-CYCLOHEXEN-1-YL)-, (3E)-REL-",".ALPHA.-IRONE, TRANS-(+/-)-",chemical,015e4a78-461d-4553-9671-d11fa659dc74,".ALPHA.-IRONE, TRANS-(+/-)-",599-45-1,,,,,,,,,C14H22O,,C[C@H]1CC=C([C@@H](C1(C)C)/C=C/C(=O)C)C,INGREDIENT SUBSTANCE,,,,
271,17226-64-1,17226-64-1,,,,,,,,,,,,,,,,,,,,U26RC8AE78,,,,,,,"2-ISOPROPYL-4-METHYL-1,3-DIOXOLANE, TRANS-|1,3-DIOXOLANE, 4-METHYL-2-(1-METHYLETHYL)-, TRANS-|1,3-DIOXOLANE, 2-ISOPROPYL-4-METHYL-, TRANS-|1,3-TRANS-2-ISOPROPYL-4-METHYLDIOXOLANE|FEMA NO. 4287, TRANS-|(+/-)-2-ISOPROPYL-4-METHYL-1,3-DIOXOLANE, TRANS-|2-ISOPROPYL-4-METHYL-1,3-DIOXOLANE, TRANS-(+/-)-","2-ISOPROPYL-4-METHYL-1,3-DIOXOLANE, TRANS-",chemical,015fa122-cf11-4f21-8ffd-049c1395363f,"2-ISOPROPYL-4-METHYL-1,3-DIOXOLANE, TRANS-",17226-64-1,,,,,,,,,C7H14O2,,C[C@@H]1CO[C@H](O1)C(C)C,INGREDIENT SUBSTANCE,,,,
302,426-34-6,426-34-6,,,,,,,,,,,,,,,,,,,,38O087PFXF,,,,,,,"GERMBUDINE|CEVANE-3,4,7,14,15,16,20-HEPTOL, 4,9-EPOXY-, 3-((2R,3R)-2,3-DIHYDROXY-2-METHYLBUTANOATE) 15-((2R)-2-METHYLBUTANOATE), (3.BETA.,4.ALPHA.,7.ALPHA.,15.ALPHA.,16.BETA.)-|CEVANE-3,4,7,14,15,16,20-HEPTOL, 4,9-EPOXY-, 3-(2,3-DIHYDROXY-2-METHYLBUTANOATE) 15-(2-METHYLBUTANOATE), (3.BETA.(2R,3R),4.ALPHA.,7.ALPHA.,15.ALPHA.(R),16.BETA.)-|CEVANE-3.BETA.,4.BETA.,7.ALPHA.,14,15.ALPHA.,16.BETA.,20-HEPTOL, 4,9-EPOXY-, 3-(THREO-(+)-2,3-DIHYDROXY-2-METHYLBUTYRATE) 15-((-)-2-METHYLBUTYRATE)",GERMBUDINE,chemical,018c6ca3-2874-468c-aa2f-0caea055b1be,GERMBUDINE,426-34-6,,,,,,,,,C37H59NO12,LWSPRPDSPCBAKK-FZARFFRBSA-N,CC[C@@H](C)C(=O)O[C@H]1[C@@H]([C@H]2[C@@H](CN3C[C@H](CC[C@H]3[C@@]2(C)O)C)[C@H]4[C@@]1([C@@H]5[C@@H](C[C@H]6[C@]7([C@]5(C4)O[C@]6([C@H](CC7)OC(=O)[C@@](C)([C@@H](C)O)O)O)C)O)O)O,INGREDIENT SUBSTANCE,Q27256799,Q27256799,LWSPRPDSPCBAKK-AKCSBLMRSA-N,
318,56436-31-8,56436-31-8,,,,,,,,,,,,,,,,,,,,NM7V2Y3G0U,,,,,,,"METOLAZONE, (+)-|6-QUINAZOLINESULFONAMIDE, 7-CHLORO-1,2,3,4-TETRAHYDRO-2-METHYL-3-(2-METHYLPHENYL)-4-OXO-, (+)-","METOLAZONE, (+)-",chemical,019b8650-1a3b-4b4d-a14c-6332281c6bdb,"METOLAZONE, (+)-",56436-31-8,,,,,,,,,C16H16ClN3O3S,,Cc1ccccc1N2C(Nc3cc(c(cc3C2=O)S(=O)(=O)N)Cl)C,INGREDIENT SUBSTANCE,,,,
407,76559-69-8|7229-50-7|20611-71-6,7229-50-7,,,,,,,,,,,,,,,M936,,,,,6MON4029Q8,,,,,STREPTOLYDIGIN,,AFRAGILIMYCIN A|STREPTOLYDIGIN|PORTAMYCIN|NSC-3360,STREPTOLYDIGIN,chemical,01f57067-cfc9-417d-a89d-169f82011cf5,STREPTOLYDIGIN,7229-50-7,,,,,,,,,C32H44N2O9,KVTPRMVXYZKLIG-NCAOFHFGSA-N,C[C@H]1[C@H]2C=C[C@@]3(CO3)[C@](O2)(O[C@@H]1[C@H](C)/C=C(\C)/C=C/C(=C\4/C(=O)[C@@H](N(C4=O)[C@@H]5CC[C@@H]([C@@H](O5)C)O)[C@H](C)C(=O)NC)/O)C,INGREDIENT SUBSTANCE,Q5849706,Q5849706,UEFVDAXLJNYMAZ-UHFFFAOYSA-N,
439,105956-99-8,105956-99-8,,,,,,,,,,,,,,,M3623,,C80637,,,G17M59V0FY,,,,,,,"CLINAFLOXACIN HYDROCHLORIDE|3-QUINOLINECARBOXYLIC ACID, 7-(3-AMINO-1-PYRROLIDINYL)-8-CHLORO-1-CYCLOPROPYL-6-FLUORO-1,4-DIHYDRO-4-OXO-, MONOHYDROCHLORIDE, (+/-)-|(+/-)-7-(3-AMINO-1-PYRROLIDINYL)-8-CHLORO-1-CYCLOPROPYL-6-FLUORO-1,4-DIHYDRO-4-OXO-3-QUINOLINECARBOXYLIC ACID, MONOHYDROCHLORIDE|CI-960 HCL|CLINAFLOXACIN HCL",CLINAFLOXACIN HYDROCHLORIDE,chemical,021de1ec-c763-4a67-8c43-2cec5dba5021,CLINAFLOXACIN HYDROCHLORIDE,105956-99-8,,C80637,,,,,,,C17H17ClFN3O3.ClH,,c1c2c(c(c(c1F)N3CCC(C3)N)Cl)n(cc(c2=O)C(=O)O)C4CC4.Cl,INGREDIENT SUBSTANCE,,,,
448,111205-55-1,111205-55-1,,,,,,,,,,,,,,,,,,,,K9Q4R9S81O,,,,,CGS-20625,,"CGS-20625|CYCLOHEPTA(B)PYRAZOLO(3,4-D)PYRIDIN-3(2H)-ONE, 5,6,7,8,9,10-HEXAHYDRO-2-(4-METHOXYPHENYL)-",CGS-20625,chemical,022ba66d-b460-4c3a-b8a6-5258b4decafb,CGS-20625,111205-55-1,,,,,,,,,C18H19N3O2,XRUUVUYJUULCBQ-UHFFFAOYSA-N,COc1ccc(cc1)n2c(=O)c-3c[nH]c4c(c3n2)CCCCC4,INGREDIENT SUBSTANCE,Q5010987,Q5010987,UBLXQFIFWUEVGJ-UHFFFAOYSA-N,
490,1555-53-9,1555-53-9,,,,,216-303-8,,,,,,,,,,M7009,,,,,45SH0X7R1E,,,,,,,MAGNESIUM OLEATE|(9Z)-9-OCTADECENOIC ACID MAGNESIUM SALT (2:1),MAGNESIUM OLEATE,chemical,025905f0-a102-47a1-986c-01b4c1da7cf4,MAGNESIUM OLEATE,1555-53-9,216-303-8,,,,,,,,2C18H33O2.Mg,TYYXXEAZZVHRDF-CVBJKYQLSA-L,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Mg+2],INGREDIENT SUBSTANCE,Q17326484,Q17326484,TYYXXEAZZVHRDF-UHFFFAOYSA-L,
562,1820-09-3,1820-09-3,,,,,217-335-5,,,,,,,,,,,,,,,5E8197JSI1,,,,,,,"TRANS-VERBENOL, (+/-)-|BICYCLO(3.1.1)HEPT-3-EN-2-OL, 4,6,6-TRIMETHYL-, (1R,2S,5R)-REL-|2-PINEN-4-OL, TRANS-|BICYCLO(3.1.1)HEPT-3-EN-2-OL|4,6,6-TRIMETHYL-, (1.ALPHA.,2.ALPHA.,5.ALPHA.)-|(+/-)-TRANS-VERBENOL|NSC-6833|TRANS-VERBENOL|VERBENOL, TRANS-|VERBENOL, (+/-)-TRANS-","VERBENOL, (+/-)-TRANS-",chemical,02b463d1-0c35-40a6-82d6-f56ca1100ce3,"VERBENOL, (+/-)-TRANS-",1820-09-3,217-335-5,,,,,,,,C10H16O,,CC1=C[C@@H]([C@@H]2C[C@H]1C2(C)C)O,INGREDIENT SUBSTANCE,,,,
599,510-53-2,510-53-2,,,9732,,208-114-4,,,SUB10233MIG,,29.0,,,,,,,,,,8YB8F78WM1,,,,,METHORPHAN,,"RACEMETHORPHAN|(+/-)-3-METHOXY-N-METHYLMORPHINAN|(+/-)-3-METHOXY-17-METHYLMORPHINAN|DL-CIS-1,3,4,9,10,10A-HEXAHYDRO-6-METHOXY-11-METHYL-2H-10,4A-IMINOETHANOPHENANTHRENE|DL-CIS-1,2,3,9,10,10A-HEXAHYDRO-6-METHOXY-11-METHYL-4H-10,4A-IMINOETHANOPHENANTHRENE|DEOXYDIHYDROTHEBACODINE|METHORPHAN|RACEMETHORPHANUM|IDS-NR-001|DL-3-METHOXY-N-METHYLMORPHINAN|راسيميثورفان|racéméthorphane|racemethorphanum|消旋甲啡烷|racemetorfano|рацеметорфан",RACEMETHORPHAN,chemical,02d9ffcd-2401-4adf-8210-41db74207a04,RACEMETHORPHAN,510-53-2,208-114-4,,,,,,,29.0,C18H25NO,,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4c3cc(cc4)OC,INGREDIENT SUBSTANCE,,,,
620,80-56-8,80-56-8,,,,,201-291-9,,67004,,,,,ALPHA-PINENE,,,M8826,C005451,,,,JPF3YI7O34,,,,,ALPHA-PINENE,,".ALPHA.-PINENE|FEMA NO. 2902|ALPHA-PINENE|.ALPHA.-PINENE, (+/-)-|(+/-)-.ALPHA.-PINENE|ALFA-PINENE|ACINTENE A|LEAVO-95|NSC-7727|PC-500|SYLVAPINE A|2,6,6-TRIMETHYLBICYCLO(3.1.1)HEPT-2-ENE|BICYCLO(3.1.1)HEPT-2-ENE, 2,6,6-TRIMETHYL-",.ALPHA.-PINENE,chemical,02fe22dc-b400-41ec-a13b-f18f8d4a0d5c,.ALPHA.-PINENE,80-56-8,201-291-9,,,,,,,,C10H16,,CC1=CC[C@H]2C[C@@H]1C2(C)C,INGREDIENT SUBSTANCE,Q27104380,,,
646,110347-85-8,110347-85-8,,,,,,,,SUB10476MIG,,6843.0,,,,,,C053672,,,,4VGJ4A41L2,,,,,SELFOTEL,,"CGS-19755|2-PIPERIDINECARBOXYLIC ACID, 4-(PHOSPHONOMETHYL)-, CIS-|SELFOTEL|CIS-4-(PHOSPHONOMETHYL)-2-PIPERIDINE CARBOXYLIC ACID|2-PIPERIDINECARBOXYLIC ACID, 4-(PHOSPHONOMETHYL)-, (2R,4S)-REL-|CPDD-0027|سيلفوتال|selfotel|selfotelum|塞福太|selfotel|селфотел",SELFOTEL,chemical,03154ef3-6220-4ce6-a8ae-9d6d37a67a2e,SELFOTEL,110347-85-8,,,,,,,,6843.0,C7H14NO5P,,C1CN[C@@H](C[C@@H]1CP(=O)(O)O)C(=O)O,INGREDIENT SUBSTANCE,Q7448341,,,
814,466-97-7,466-97-7,,,9313,,207-381-4,,,,,833.0,,,,,M8070,C010616,,,,XUI1Y24IMI,,,,,NORMORPHINE,,"NORMORPHINE|4,5-EPOXY-3,6-DIHYDROXYMORPHIN-7-ENE|IDS-NN-008|MORPHINAN-3,6.ALPHA.-DIOL, 7,8-DIDEHYDRO-4,5.ALPHA.-EPOXY-|(-)-NORMORPHINE|N-DEMETHYLMORPHINE|NSC-270042|نورمورفين|normorphine|normorphinum|去甲吗啡|normorfina|норморфин",NORMORPHINE,chemical,03e48bac-d72e-4528-b7b8-9837f7f636f7,NORMORPHINE,466-97-7,207-381-4,,,,,,,833.0,C16H17NO3,ONBWJWYUHXVEJS-ZTYRTETDSA-N,c1cc(c2c3c1C[C@@H]4[C@H]5[C@]3(CCN4)[C@@H](O2)[C@H](C=C5)O)O,INGREDIENT SUBSTANCE,Q4327449,Q4327449,ONBWJWYUHXVEJS-UHFFFAOYSA-N,
851,28834-25-5,28834-25-5,,,,,,,,,,,,,,,M8040,,,,,3K3OKV2A5A,,,,,,,"NOOTKATONE, (+/-)-|2(3H)-NAPHTHALENONE, 4,4A,5,6,7,8-HEXAHYDRO-4,4A-DIMETHYL-6-(1-METHYLETHENYL)-, (4R,4AS,6R)-REL|(+/-)-NOOTKATONE|7.BETA.H-EREMOPHILA-1(10),11-DIEN-2-ONE -|(4RS,4ASR,6RS)-4,4A,5,6,7,8-HEXAHYDRO-4,4A-DIMETHYL-6-(1-METHYLETHENYL)-2(3H)-NAPHTHALENONE|NOOTKATONE (+/-)-FORM","NOOTKATONE, (+/-)-",chemical,04110457-9fbb-4746-8fe6-656b579636b5,"NOOTKATONE, (+/-)-",28834-25-5,,,,,,,,,C15H22O,,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,INGREDIENT SUBSTANCE,,,,
858,135558-11-1|131374-93-1,135558-11-1,,,,,,,,,,6790.0,,,,,M6877,C066228,C1434,,,OX5XK1JD8C,,,,,,,"LOBAPLATIN|CIS-(TRANS-1,2-CYCLOBUTANEBIS(METHYLAMINE))((S)-LACTATO-O1,O1)PLATINUM|لوبابلاتين|lobaplatine|lobaplatinum|洛铂|lobaplatino|лобаплатин",LOBAPLATIN,chemical,041b41c2-eeb9-4f76-8bba-7927d60200d8,LOBAPLATIN,135558-11-1,,C1434,,,,,,6790.0,C6H14N2.C3H4O3.Pt,,,INGREDIENT SUBSTANCE,,,,
861,90779-69-4,90779-69-4,,,,,,,,SUB05601MIG,,6392.0,2213,,,,M2126,C047046,C84815,,59639,081D12SI0Z,,G02CX01,,QG02CX01,,,"ORF-22164|ATOSIBAN|OXYTOCIN, 1-(3-MERCAPTOPROPANOIC ACID)-2-(O-ETHYL-D-TYROSINE)-4-L-THREONINE-8-L-ORNITHINE-|1-(3-MERCAPTOPROPIONIC ACID)-2-(3-(P-ETHOXYPHENYL)-D-ALANINE)-4-L-THREONINE-8-L-ORNITHINEOXYTOCIN|RWJ-22164|GLYCINAMIDE, O-ETHYL-N-(3-MERCAPTO-1-OXOPROPYL)-D-TYROSYL-L-ISOLEUCYL-L-THREONYL-L-ASPARAGINYL-L-CYSTEINYL-L-PROLYL-L-ORNITHYL-, CYCLIC (1->5)-DISULFIDE|TRACTOCILE|ANTOCILE|ANTOCIN|ANTOCIN II|CAP-449|CAP-476|CAP-581|F-314|RW-22164|TRACTOCIL|أتوسيبان|atosiban|atosibanum|阿托西班|atosiban|атосибан",ATOSIBAN,chemical,041f4ed2-71fb-4d33-8e70-7a476e2beb38,ATOSIBAN,90779-69-4,,C84815,59639.0,,,,,6392.0,C43H67N11O12S2,VWXRQYYUEIYXCZ-OBIMUBPZSA-N,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSCCC(=O)N[C@@H](C(=O)N1)Cc2ccc(cc2)OCC)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(=O)N)CC(=O)N)[C@@H](C)O,INGREDIENT SUBSTANCE,Q421322,Q421322,VWXRQYYUEIYXCZ-AVTFEHRISA-N,
892,106-27-4,106-27-4,21 CFR 172.515,,,,203-380-8,,,,,,,ISOAMYL BUTYRATE,,,M6430,,,,1314272,505AFM77VU,,,,,,,"ISOAMYL BUTYRATE|BUTANOIC ACID 3-METHYLBUTYL ESTER|FEMA NO. 2060|NSC-6548|BUTYRIC ACID, ISOPENTYL ESTER|ISOPENTYL ALCOHOL, BUTYRATE|3-METHYL-1-BUTYL BUTANOATE|ISOPENTYL BUTYRATE",ISOAMYL BUTYRATE,chemical,044a003e-f567-4fdd-b521-e03274f86432,ISOAMYL BUTYRATE,106-27-4,203-380-8,,1314272.0,,,,,,C9H18O2,PQLMXFQTAMDXIZ-UHFFFAOYSA-N,CCCC(=O)OCCC(C)C,INGREDIENT SUBSTANCE,Q2928817,Q2928817,SWRPIVXPHLYETN-BVWHHUJWSA-N,
